ID	地点番号	駅名	世代	年齢(調査時)	開始時刻	出身地	生年	性別	1009とうもろこし<家>	1009とうもろこし<TV>	1013片足とび<家>	1013片足とび<TV>	1016びり<家>	1016びり<TV>	1007あざができる<家>	1007あざができる[あざ-]<家>	1007あざができる[-が-]<家>	1007あざができる[-できる]<家>	1007あざができる<TV>
1	NI1601	越中宮崎	高	73	14:30	1	1933	男	ﾏｷﾋﾞ	ﾏｷﾋﾞ	"ﾁﾝﾊﾞｶｸ,ｹﾝｹﾝ"	ﾁﾝﾊﾞｶｸ	"ｹﾞｯﾊﾟ,ｹﾞｯﾄ,ﾋﾞﾘ"	ｹﾞｯﾊﾟ	ｱｻﾞﾃﾞｷﾀ	ｱｻﾞ	φ	ﾃﾞｷﾀ	ｱｻﾞﾃﾞｷﾀ
1	NI1601	越中宮崎	中	54	13:00	1	1952	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝﾊﾟ	ｹﾝｹﾝｱｿﾋﾞ	ｹﾞｯﾊﾟ	ﾋﾞﾘｹﾂ	ｱｵﾀﾝｶﾞﾃﾞｷﾙ	ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾙ	ｳﾁﾐｶﾞﾃﾞｷﾀ
1	NI1601	越中宮崎	若	38	10:00	1	1968	男	"ﾄｰﾓﾛｺｼ,ﾏｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾞｯﾊﾟ,ｹﾂ"	ｲﾁﾊﾞﾝｻｲｺﾞ	ｱｵﾀﾝｶﾞﾃﾞｷﾀ	ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾀ	ｱｵｱｻﾞｶﾞﾃﾞｷﾀ
1	NI1601	越中宮崎	少	13	9:10	1	1993	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾋﾞﾘｯｹﾂ"	ｻｲｺﾞ	"ｱｵﾀﾝﾃﾞｷﾃｼﾏｯﾀ,ｱｵｱｻﾞﾃﾞｷﾃｼﾏｯﾀ"	"ｱｵﾀﾝ,ｱｵｱｻﾞ"	φ	ﾃﾞｷﾃｼﾏｯﾀ	ｱｵｱｻﾞｶﾞﾃﾞｷﾃｼﾏｯﾀ
2	NI1602	泊	高	69	9:40	3	1936	女	"ﾄｰﾓﾛｺｼ,ﾏｷﾋﾞ"	ﾄｰﾓﾛｺｼ	"ｹﾝｹﾝ,ｹﾝｹﾝﾊﾟ"	ｹﾝｹﾝﾊﾟ	ｹﾞｯﾀ	ﾋﾞﾘ	ｼﾝﾀﾞ	NN	NN	ｼﾝﾀﾞ	ｱｵｸﾅｯﾀ
2	NI1602	泊	中	57	10:40	1	1949	女	"ﾄｰﾓﾛｺｼ,ﾏｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼｹﾝｹﾝ	"ｹﾞｯﾄ,ｹﾞｯﾄｸｿ"	ﾋﾞﾘ	ｼﾝﾀﾞ	NN	NN	ｼﾝﾀﾞ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ
2	NI1602	泊	若	30	10:30	1	1976	男	"ﾄｰﾓﾛｺｼ,ﾏｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾄﾞﾝｹﾂ"	ﾋﾞﾘ	ｱｵﾀﾝﾆﾅﾙ	ｱｵﾀﾝ	ﾆ	ﾅﾙ	"ｱｵﾀﾝﾆﾅﾙ,ｱｻﾞﾆﾅﾙ,ｱｻﾞｶﾞﾃﾞｷﾙ"
2	NI1602	泊	少	14	12:55	3	1992	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾀ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾀ	ｱｻﾞｶﾞﾃﾞｷﾀ
3	NI1603	入善	高	76	13:05	1	1928	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	"ｶﾀｱｼﾄﾋﾞ,ｶﾀｲｯﾎﾟﾄﾋﾞ"	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘｯｶｽ,ﾋﾞﾘｯｶｼ,ｹﾞｯﾀｸｿ,ｹﾞﾍﾞｯﾄ"	"ﾋﾞﾘ,ｹﾂ"		ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	
3	NI1603	入善	中	56	17:05	1	1948	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾄﾋﾞ	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘｯｹﾂ,ﾗｽﾄﾗﾝﾅｰ"	"ﾋﾞﾘ,ﾋﾞﾘｯｹﾂ"		ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	
3	NI1603	入善	若	32	14:15	3<入善町>	1972	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾄﾞﾍﾞ,ｹﾞｯﾄｸｿ,ｹﾞﾍﾞ"	ﾋﾞﾘ		ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾙ	
3	NI1603	入善	少	15	15:05	1	1989	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ｻｲｶｲ		ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	
3	NI1603	入善	高	73	9:50	3	1933	女	"ﾄｰﾓﾛｺｼ,ﾏｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹｯﾊﾟﾝ	ｹｯﾊﾟﾝ	"ﾋﾞﾘ,ｹﾞｯﾄ"	ｻｲｺﾞ	ｸﾛｽﾞﾝﾀﾞ	NN	NN	ｸﾛｽﾞﾝﾀﾞ	ｱｵｱｻﾞﾐﾀｲﾆﾅｯﾀ
3	NI1603	入善	中	52	13:40	1	1954	男	ﾄｰﾓﾛｺｼ	"ﾄｰﾓﾛｺｼ,ｽｲｰﾄｺｰﾝ"	ｹﾝｹﾝ	NR	"ｹﾞﾍﾞ,ｹﾞｯﾄｸｿ"	ﾋﾞﾘ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	NR
3	NI1603	入善	若	39	10:00	1	1967	女	"ﾄｰﾓﾛｺｼ,ｺｰﾝ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾞﾍﾞ"	ｻｲｺﾞ	ｱｵｱｻﾞｶﾞﾃﾞｷﾀ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾀ	ｱｵｱｻﾞｶﾞﾃﾞｷﾀ
3	NI1603	入善	少	18	13:00	1	1988	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	NR	NR	ﾋﾞﾘ	ｻｲｶｲ	ｱｵﾀﾝｶﾞﾃﾞｷﾀ	ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾀ	ﾅｲｼｭｯｹﾂｶﾞﾃﾞｷﾀ
